name,symbol
TIGER NASDAQ100,133690.KS
TIGER 200 IT,139260.KS
KIWOOM 100,153270.KS
KODEX 200 Mid-Small,226980.KS
PLUS 200 Futures Inverse 2X,253160.KS
KODEX Consumer Discretionary,266390.KS
RISE Mid-long KTB Active,272570.KS
RISE 200 Financials,284980.KS
RISE Game Industry,300640.KS
HANARO KOSDAQ150,304770.KS
HANARO e-Commerce,322400.KS
KODEX TRF7030,329670.KS
HANARO 200TR,332930.KS
KODEX US Real Estate ETF(H),352560.KS
HANARO Global Luxury S&P (Synth,354350.KS
HANARO Green Energy,381570.KS
KIWOOM Global Future Mobility,394350.KS
HANARO K-POP&Media,395290.KS
PLUS ESG Growth Active,395760.KS
KODEX MSCI China Batteries(SYNT,419430.KS
KIWOOM USA ETF Industry STOXX,426330.KS
PLUS K-REITs,429740.KS
PLUS S&P 500,429760.KS
KODEX ESG Total Bond Active,439860.KS
KIWOOM China A50 Connect MSCI,441330.KS
HANARO Oct 2032 Treasury,448490.KS
TIGER KOREA-CHINA SEMICONDUCTOR,449690.KS
KIWOOM S&P500,449770.KS
RISE Global Equity Allocation A,459750.KS
KIWOOM Genetic Innovation Techn,460280.KS
PLUS 10-Year Treasury Bond Acti,461460.KS
PLUS TOP 10 US Tech Company,461900.KS
PLUS US Treasury Bond 30-Year A,464470.KS
RISE US Semiconductor(H),469050.KS
RISE USD Futures Inverse,469530.KS
KIWOOM K-TechTOP10,469790.KS
TIGER Korea Tech Active,471780.KS
ACE KPOP Focus,475050.KS
RISE Global Obesity Industry TO,476310.KS
KODEX US Dividend Dow Jones,489250.KS
ARK Innovation ETF,ARKK
ARK INVEST UCITS ICAV ARK INNOV,ARKK.L
WEBs Financial XLF Defined Vola,DVXF
WEBs Technology XLK Defined Vol,DVXK
iShares MSCI Emerging Index Fun,EEM
iShares MSCI Emerging Markets A,EEMA
BNP PARIBAS EASY MSCI EMU Min T,EEMU.MI
SPDR Gold Shares,GLD
SPDR Gold MiniShares Trust,GLDM
iShares iBoxx $ High Yield Corp,HYG
ISHARES EUR HIGH YIELD CORP BD ,HYGUN.MX
FlexShares High Yield Value-Sco,HYGV
iShares Core MSCI Emerging Mark,IEMG
ISHARES INC CORE MSCI EMERGING ,IEMG.MX
iShares Core S&P 500 ETF,IVV
ISCS&P500 ETF UNITS [IVV],IVV.AX
ProShares Ultra QQQ,QLD
"Invesco QQQ Trust, Series 1",QQQ
Invesco NASDAQ 100 ETF,QQQM
iShares Silver Trust,SLV
iShares MSCI Global Silver Mine,SLVP
Sprott Silver Miners & Physical,SLVR
State Street SPDR S&P 500 ETF T,SPY
State Street SPDR Portfolio S&P,SPYD
State Street SPDR Portfolio S&P,SPYG
NEOS S&P 500 High Income ETF,SPYI
ProShares UltraPro Short QQQ,SQQQ
iShares 20+ Year Treasury Bond ,TLT
LEVERAGE SHARES PUBLIC LIMITED ,TLT5.L
iShares 20+ Year Treasury Bond ,TLTW
ProShares UltraPro QQQ,TQQQ
Vanguard S&P 500 ETF,VOO
VANGUARD INDEX FUNDS S&P 500 ET,VOO.MX
Vanguard S&P 500 Growth ETF,VOOG
Vanguard S&P 500 Value ETF,VOOV
Vanguard Total Stock Market ETF,VTI
Vanguard FTSE Emerging Markets ,VWO
Vanguard Emerging Markets Gover,VWOB
VANGUARD WHITEHALL FUNDS EMERGI,VWOB.MX
State Street Financial Select S,XLF
INVESCO MARKETS PL INVESCO FINS,XLFS.AQ
INVESCO FINANCS S&P US SEL SEC ,XLFS.MI
Invesco Financials S&P US Selec,XLFSL.XC
State Street Technology Select ,XLK
Invesco Technology S&P US Selec,XLKSL.XC
